,template,entry_id,mechanism_id
12,[C&D1&v4&H3&0*&!R&z1:1]-[S&D3&v3&H0&+&!R:2].[N&D1&v3&H2&0*&!R:3]>>[C&D1&v4&H3&0*&!R&z1:1]-[N&D2&v3&H1&0*&!R:3].[S&D2&v2&H0&0*&!R:2],"[23, 1005]","[1, 1]"
13,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[c&D3&v4&H0&0*&R&z0:3]:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D3&v4&H0&0*&R&z1:6]-[Cl&D1&v1&H0&0*&!R:7].[O&D0&v2&H2&0*&!R:8]>>[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[c&D3&v4&H0&0*&R&z0:3]:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z0:5]:[c&D3&v4&H0&0*&R&z1:6]-[O&D1&v2&H1&0*&!R:8].[Cl&D0&v1&H1&0*&!R:7],[24],[1]
14,[N&D3&v3&H0&0*&!R:1]-[C&D3&v4&H0&0*&!R&z3:2](-[N&D1&v3&H2&0*&!R:3])=[O&D1&v2&H0&0*&!R:4].[O&D0&v2&H2&0*&!R:5]>>[N&D0&v3&H3&0*&!R:3].[N&D2&v3&H1&0*&!R:1].[O&D1&v2&H0&0*&!R:5]=[C&D2&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:4],[25],[1]
15,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H0&0*&!R&z2:2]=[O&D1&v2&H0&0*&!R:3].[O&D0&v2&H2&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[O&D1&v2&H1&0*&!R:4].[N&D0&v3&H3&0*&!R:1],"[29, 301, 455, 455]","[1, 1, 3, 2]"
16,[N&D3&v3&H0&0*&R:1](-[C&D2&v4&H2&0*&R&z2:2]-[N&D3&v3&H0&0*&R:3])-[C&D3&v4&H1&0*&R&z1:4].[O&D1&v2&H0&0*&!R:5]=[c&D3&v4&H0&0*&R&z2:6]:[c&D2&v4&H1&0*&R&z0:7]:[c&D2&v4&H1&0*&R&z1:8]>>[C&D1&v4&H3&0*&!R&z0:2]-[c&D3&v4&H0&0*&R&z0:7](:[c&D2&v4&H1&0*&R&z1:8]):[c&D3&v4&H0&0*&R&z2:6]=[O&D1&v2&H0&0*&!R:5].([N&D2&v3&H0&0*&R:1]=[C&D3&v4&H0&0*&R&z1:4].[N&D2&v3&H1&0*&!R:3]),[31],[1]
17,[N&D3&v3&H0&0*&R:1](-[C&D2&v4&H2&0*&R&z2:2]-[N&D3&v3&H0&0*&R:3])-[C&D3&v4&H1&0*&R&z1:4].[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6]>>[C&D1&v4&H3&0*&!R&z0:2]-[c&D3&v4&H0&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z1:6].([N&D2&v3&H0&0*&R:1]=[C&D3&v4&H0&0*&R&z1:4].[N&D2&v3&H1&0*&!R:3]),[31],[2]
18,[C&D3&v4&H0&0*&!R&z1:1](=[O&D1&v2&H0&0*&!R:2])-[C&D2&v4&H1&0*&!R&z1:3]=[O&D1&v2&H0&0*&!R:4].[S&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H1&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[S&D2&v2&H0&0*&!R:5],"[32, 359, 359]","[1, 2, 3]"
19,([*:1](~[*:2]~[O&D1&v2&H0&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[*:15]~[*:16]~[C&D2&v4&H2&0*&!R&z2:17]-[O&D2&v2&H0&0*&!R:18].[O&D1&v2&H1&0*&!R:19])>>([*:1](~[*:2]~[O&D1&v2&H0&0*&!R:3])~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[*:8]~[*:9]~[*:10]~[*:11]~[*:12]~[*:13]~[*:14]~[*:15]~[*:16]~[C&D2&v4&H2&0*&!R&z2:17]-[O&D2&v2&H0&0*&!R:19].[O&D1&v2&H1&0*&!R:18]),[33],[1]
20,[C&D2&v4&H2&0*&!R&z1:1]-[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6]>>[C&D2&v4&H2&0*&!R&z1:1]-[O&D2&v2&H0&0*&!R:4]-[P&D4&v5&H0&0*&!R:5]-[O&D1&v2&H1&0*&!R:6].[P&D4&v5&H0&0*&!R:3]-[O&D1&v2&H1&0*&!R:2],[35],[1]
21,[O&D0&v2&H2&0*&!R:1].[c&D3&v4&H0&0*&R&z2:2]1:[c&D3&v4&H0&0*&R&z1:3]:[n&D2&v3&H0&0*&R:4]:[c&D2&v4&H1&0*&R&z2:5]:[n&D3&v3&H0&0*&R:6]:1-[C&D3&v4&H1&0*&R&z2:7](-[O&D2&v2&H0&0*&R:8])-[C&D3&v4&H1&0*&R&z1:9]-[O&D1&v2&H1&0*&!R:10]>>[O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z2:5]-[O&D1&v2&H1&0*&!R:10].([O&D1&v2&H1&0*&!R:8].[c&D3&v4&H0&0*&R&z2:2]1:[c&D3&v4&H0&0*&R&z1:3]-[N&D2&v3&H0&0*&R:4]=[C&D3&v4&H0&0*&R&z1:9]-[C&D2&v4&H2&0*&R&z1:7]-[N&D2&v3&H1&0*&R:6]-1),[38],[1]
22,[C&D3&v4&H0&0*&!R&z2:1]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3].[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H0&0*&!R&z2:1]-[O&D1&v2&H1&0*&!R:5].[P&D4&v5&H0&0*&!R:4]-[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3],[40],[1]
23,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:5]>>[O&D1&v2&H1&0*&!R:2].[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:1])(-[O&D1&v2&H1&0*&!R:4])-[O&D1&v2&H1&0*&!R:5],[43],[1]
24,[O&D0&v2&H2&0*&!R:1].[O&D2&v2&H0&0*&!R:2]-[P&D4&v5&H0&0*&!R:3](=[O&D1&v2&H0&0*&!R:4])-[O&D1&v2&H1&0*&!R:5]>>[O&D1&v2&H0&0*&!R:4]=[P&D4&v5&H0&0*&!R:3](-[O&D1&v2&H1&0*&!R:1])-[O&D1&v2&H1&0*&!R:5].[O&D1&v2&H1&0*&!R:2],[44],[1]
25,([*:1](~[O&D1&v2&H1&0*&!R:2])~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D2&v2&H0&0*&!R:5]-[C&D3&v4&H1&0*&R&z1:6])>>[*:1](~[O&D2&v2&H0&0*&R:2]-[C&D3&v4&H1&0*&R&z1:6])~[*:3]~[O&D1&v2&H1&0*&!R:4].[O&D1&v2&H1&0*&!R:5],[45],[1]
26,[O&D0&v2&H2&0*&!R:1].[c&D3&v4&H0&0*&R&z1:2]-[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4]>>[P&D4&v5&H0&0*&!R:4]-[O&D1&v2&H1&0*&!R:3].[c&D3&v4&H0&0*&R&z1:2]-[O&D1&v2&H1&0*&!R:1],[47],[1]
27,[C&D3&v4&H1&0*&R&z2:1]-[O&D2&v2&H0&0*&!R:2].[n&D2&v3&H1&0*&R:3]>>[O&D1&v2&H1&0*&!R:2].[n&D3&v3&H0&0*&R:3]-[C&D3&v4&H1&0*&R&z2:1],[48],[1]
28,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&!R&z1:2]-[C&D3&v4&H0&0*&!R&z2:3]-[O&D1&v2&H1&0*&!R:4]>>[N&D1&v3&H2&0*&!R:1]-[C&D2&v4&H2&0*&!R&z1:2].[O&D1&v2&H0&0*&!R:4]=[C&D2&v4&H0&0*&!R&z2:3],"[49, 409]","[1, 2]"
29,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[c&D2&v4&H1&0*&R&z1:3],[50],[1]
30,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]:[c&D2&v4&H1&0*&R&z0:4]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z1:3],[50],[3]
31,[C&D3&v4&H0&0*&!R&z2:1](-[O&D1&v2&H1&0*&!R:2])-[c&D3&v4&H0&0*&R&z1:3]:[c&D2&v4&H1&0*&R&z0:4]:[c&D3&v4&H0&0*&R&z2:5]=[O&D1&v2&H0&0*&!R:6]>>[O&D1&v2&H0&0*&!R:2]=[C&D2&v4&H0&0*&!R&z2:1].[O&D1&v2&H0&0*&!R:6]=[c&D3&v4&H0&0*&R&z2:5]:[c&D2&v4&H1&0*&R&z0:4]:[c&D2&v4&H1&0*&R&z1:3],[50],[2]
32,[*:1](~[O&D1&v2&H1&0*&!R:2])~[O&D2&v2&H0&0*&!R:3]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6].[C&D3&v4&H0&0*&!R&z2:7](-[O&D1&v2&H1&0*&!R:8])-[C&D2&v4&H2&0*&!R&z0:9]-[C&D3&v4&H0&0*&!R&z2:10](=[O&D1&v2&H0&0*&!R:11])~[*:12]~[O&D1&v2&H0&0*&!R:13]>>[*:1](~[O&D1&v2&H1&0*&!R:3])~[O&D1&v2&H1&0*&!R:2].[C&D1&v4&H2&0*&!R&z0:9]=[C&D3&v4&H0&0*&!R&z2:10](-[O&D2&v2&H0&0*&!R:11]-[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D1&v2&H1&0*&!R:6])~[*:12]~[O&D1&v2&H0&0*&!R:13].[O&D1&v2&H0&0*&!R:8]=[C&D2&v4&H0&0*&!R&z2:7],[51],[1]
33,([O&D1&v2&H0&0*&!R:1]=[C&D2&v4&H1&0*&!R&z1:2].[O&D1&v2&H1&0*&!R:3]).[O&D1&v2&H0&0*&!R:4]=[C&D3&v4&H0&0*&!R&z2:5](-[C&D2&v4&H2&0*&!R&z1:6])~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10]>>[O&D2&v2&H0&0*&R:3]-[C&D4&v4&H0&0*&R&z3:5](-[O&D1&v2&H1&0*&!R:4])(~[*:7]~[*:8]~[*:9]~[O&D1&v2&H1&0*&!R:10])-[C&D3&v4&H1&0*&R&z1:6]-[C&D3&v4&H1&0*&R&z1:2]-[O&D1&v2&H1&0*&!R:1],"[52, 222]","[1, 1]"
34,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&R&z1:2]-[C&D2&v4&H2&0*&R&z0:3]-[C&D4&v4&H0&0*&R&z1:4]-[O&D1&v2&H1&0*&!R:5]>>[C&D3&v4&H0&0*&R&z0:4]=[C&D2&v4&H1&0*&R&z0:3]-[C&D3&v4&H0&0*&R&z1:2]=[O&D1&v2&H0&0*&!R:1].[O&D0&v2&H2&0*&!R:5],"[54, 55]","[1, 1]"
35,[C&D2&v4&H0&0*&!R&z2:1]#[N&D1&v3&H0&0*&!R:2].[O&D0&v2&H2&0*&!R:3]>>[C&D3&v4&H0&0*&!R&z3:1](-[N&D1&v3&H2&0*&!R:2])=[O&D1&v2&H0&0*&!R:3],"[57, 57]","[1, 2]"
36,([O&D1&v2&H1&0*&!R:1].[P&D4&v5&H0&0*&!R:2]-[O&D2&v2&H0&0*&!R:3]~[*:4](~[O&D1&v2&H0&0*&!R:5])~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8])>>[O&D1&v2&H0&0*&!R:5]~[*:4](~[O&D1&v2&H1&0*&!R:3])~[*:6]~[*:7]~[O&D1&v2&H1&0*&!R:8].[P&D4&v5&H0&0*&R:2]-[O&D2&v2&H0&0*&R:1],[58],[1]
37,[N&D1&v3&H2&0*&!R:1]-[C&D3&v4&H1&0*&R&z1:2]-[C&D3&v4&H1&0*&R&z2:3](-[O&D1&v2&H1&0*&!R:4])-[O&D2&v2&H0&0*&R:5].[O&D0&v2&H2&0*&!R:6]>>[N&D0&v3&H3&0*&!R:1].[O&D2&v2&H0&0*&R:5]-[C&D4&v4&H0&0*&R&z2:2](-[O&D1&v2&H1&0*&!R:6])-[C&D2&v4&H2&0*&!R&z1:3]-[O&D1&v2&H1&0*&!R:4],"[60, 60]","[1, 2]"
38,[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[C&D2&v4&H1&0*&!R&z0:3]=[C&D2&v4&H1&0*&!R&z0:4]-[C&D2&v4&H1&0*&!R&z0:5]=[C&D3&v4&H0&0*&!R&z1:6]-[O&D1&v2&H1&0*&!R:7]>>[O&D1&v2&H0&0*&!R:1]=[C&D3&v4&H0&0*&!R&z2:2]-[C&D2&v4&H2&0*&!R&z0:3]-[C&D2&v4&H1&0*&!R&z0:4]=[C&D2&v4&H1&0*&!R&z0:5]-[C&D3&v4&H0&0*&!R&z1:6]=[O&D1&v2&H0&0*&!R:7],[61],[1]
39,[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[N&D1&v3&H2&0*&!R:3]-[C&D3&v4&H1&0*&!R&z1:4]>>[C&D3&v4&H0&0*&!R&z1:4]=[O&D1&v2&H0&0*&!R:2].[C&D3&v4&H1&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:3],[66],[1]
40,[C&D3&v4&H1&0*&!R&z1:1]-[N&D1&v3&H2&0*&!R:2].[O&D0&v2&H2&0*&!R:3].[c&D3&v4&H0&0*&R&z0:4]1:[c&D2&v4&H1&0*&R&z0:5]:[c&D2&v4&H1&0*&R&z0:6]:[c&D2&v4&H1&0*&R&z1:7]:[n&D3&v4&H0&+&R:8]:[c&D2&v4&H1&0*&R&z1:9]:1>>[C&D3&v4&H0&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:3].[C&D3&v4&H0&0*&R&z0:4]1=[C&D2&v4&H1&0*&R&z1:9]-[N&D3&v3&H0&0*&R:8]-[C&D2&v4&H1&0*&R&z1:7]=[C&D2&v4&H1&0*&R&z0:6]-[C&D2&v4&H2&0*&R&z0:5]-1.[N&D0&v3&H3&0*&!R:2],[67],[1]
41,[O&D1&v2&H1&0*&!R:1].[S&D2&v2&H0&0*&!R:2]-[C&D3&v4&H0&0*&!R&z2:3]=[O&D1&v2&H0&0*&!R:4]>>[C&D3&v4&H0&0*&!R&z2:3](=[O&D1&v2&H0&0*&!R:4])-[O&D2&v2&H0&0*&!R:1].[S&D1&v2&H1&0*&!R:2],[69],[1]
42,[C&D3&v4&H1&0*&!R&z0:1](-[C&D3&v4&H0&0*&!R&z2:2]-[O&D1&v2&H1&0*&!R:3])-[C&D3&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5]>>[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:4]=[O&D1&v2&H0&0*&!R:5].[O&D1&v2&H0&0*&!R:3]=[C&D2&v4&H0&0*&!R&z2:2],[70],[1]
43,[C&D3&v4&H1&0*&!R&z1:1](-[O&D1&v2&H1&0*&!R:2])-[C&D3&v4&H1&0*&!R&z2:3]~[*:4]~[O&D1&v2&H0&0*&!R:5]>>[C&D2&v4&H1&0*&!R&z1:1]=[O&D1&v2&H0&0*&!R:2].[O&D1&v2&H0&0*&!R:5]~[*:4]~[C&D2&v4&H2&0*&!R&z2:3],[72],[1]
44,[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:5])-[O&D2&v2&H0&0*&!R:6]-[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9].([N&D1&v3&H2&0*&!R:10].[N&D1&v3&H2&0*&!R:11]).[O&D1&v2&H0&0*&!R:12]=[C&D2&v4&H0&0*&!R&z2:13]=[O&D1&v2&H0&0*&!R:14]>>[*:1](~[O&D1&v2&H0&0*&!R:2])~[*:3]~[P&D4&v5&H0&0*&!R:4](-[O&D1&v2&H1&0*&!R:12])-[O&D1&v2&H1&0*&!R:5].[N&D2&v3&H1&0*&R:10]-[C&D3&v4&H0&0*&R&z3:13](=[O&D1&v2&H0&0*&!R:14])-[N&D2&v3&H1&0*&R:11].[P&D4&v5&H0&0*&!R:7](-[O&D1&v2&H1&0*&!R:6])(-[O&D1&v2&H1&0*&!R:8])-[O&D1&v2&H1&0*&!R:9],[74],[1]
45,[C&D3&v4&H0&0*&!R&z2:1](=[O&D1&v2&H0&0*&!R:2])-[O&D1&v2&H1&0*&!R:3].[N&D0&v3&H3&0*&!R:4].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:6])-[O&D2&v2&H0&0*&!R:7]~[*:8]~[O&D1&v2&H1&0*&!R:9]>>[*:8](~[O&D1&v2&H1&0*&!R:7])~[O&D1&v2&H1&0*&!R:9].[N&D1&v3&H2&0*&!R:4]-[C&D3&v4&H0&0*&!R&z2:1]=[O&D1&v2&H0&0*&!R:2].[P&D4&v5&H0&0*&!R:5](-[O&D1&v2&H1&0*&!R:3])-[O&D1&v2&H1&0*&!R:6],[75],[1]
46,[C&D1&v4&H3&0*&!R&z0:1]-[C&D3&v4&H0&0*&!R&z2:2](=[O&D1&v2&H0&0*&!R:3])-[S&D2&v2&H0&0*&!R:4].[C&D3&v4&H0&0*&!R&z1:5]=[O&D1&v2&H0&0*&!R:6].[O&D0&v2&H2&0*&!R:7]>>[O&D1&v2&H0&0*&!R:3]=[C&D3&v4&H0&0*&!R&z2:2](-[O&D1&v2&H1&0*&!R:7])-[C&D2&v4&H2&0*&!R&z0:1]-[C&D4&v4&H0&0*&!R&z1:5]-[O&D1&v2&H1&0*&!R:6].[S&D1&v2&H1&0*&!R:4],[78],[1]
47,[n&D2&v3&H0&0*&R:1]:[c&D2&v4&H1&0*&R&z2:2]:[n&D2&v3&H1&0*&R:3].[n&D3&v4&H0&+&R:4]-[C&D3&v4&H1&0*&R&z2:5]>>[n&D2&v3&H0&0*&R:4].[n&D2&v3&H0&0*&R:1]:[c&D2&v4&H1&0*&R&z2:2]:[n&D3&v3&H0&0*&R:3]-[C&D3&v4&H1&0*&R&z2:5],"[79, 79]","[1, 2]"
48,[C&D2&v4&H2&0*&!R&z0:1]-[C&D3&v4&H1&0*&!R&z1:2]-[N&D2&v3&H1&0*&!R:3]>>[C&D2&v4&H1&0*&!R&z0:1]=[C&D2&v4&H1&0*&!R&z0:2].[N&D1&v3&H2&0*&!R:3],[80],[1]
